"productcategorykey","productcategoryalternatekey","englishproductcategoryname","productsubcategorykey","productsubcategoryalternatekey","englishproductsubcategoryname","productcategorykey-2"
1,1,"Bikes",1,1,"Mountain Bikes",1
1,1,"Bikes",2,2,"Road Bikes",1
1,1,"Bikes",3,3,"Touring Bikes",1
2,2,"Components",4,4,"Handlebars",2
2,2,"Components",5,5,"Bottom Brackets",2
2,2,"Components",6,6,"Brakes",2
2,2,"Components",7,7,"Chains",2
2,2,"Components",8,8,"Cranksets",2
2,2,"Components",9,9,"Derailleurs",2
2,2,"Components",10,10,"Forks",2
2,2,"Components",11,11,"Headsets",2
2,2,"Components",12,12,"Mountain Frames",2
2,2,"Components",13,13,"Pedals",2
2,2,"Components",14,14,"Road Frames",2
2,2,"Components",15,15,"Saddles",2
2,2,"Components",16,16,"Touring Frames",2
2,2,"Components",17,17,"Wheels",2
3,3,"Clothing",18,18,"Bib-Shorts",3
3,3,"Clothing",19,19,"Caps",3
3,3,"Clothing",20,20,"Gloves",3
3,3,"Clothing",21,21,"Jerseys",3
3,3,"Clothing",22,22,"Shorts",3
3,3,"Clothing",23,23,"Socks",3
3,3,"Clothing",24,24,"Tights",3
3,3,"Clothing",25,25,"Vests",3
4,4,"Accessories",26,26,"Bike Racks",4
4,4,"Accessories",27,27,"Bike Stands",4
4,4,"Accessories",28,28,"Bottles and Cages",4
4,4,"Accessories",29,29,"Cleaners",4
4,4,"Accessories",30,30,"Fenders",4
4,4,"Accessories",31,31,"Helmets",4
4,4,"Accessories",32,32,"Hydration Packs",4
4,4,"Accessories",33,33,"Lights",4
4,4,"Accessories",34,34,"Locks",4
4,4,"Accessories",35,35,"Panniers",4
4,4,"Accessories",36,36,"Pumps",4
4,4,"Accessories",37,37,"Tires and Tubes",4
